Destination,FlightNumber,Code,lat,lng,country,Date,Time,Airline,Armenian,DayOfWeek,Status
Sochi,JI 123,AER,43.5853,39.7203,Russia,2023-10-25,14:40:00,Armenian Airlines,1,Wednesday,Onetime
St.Petersburg,FV 6923,LED,59.9343,30.3351,Russia,2023-10-25,15:05:00,Rossiya Airlines,0,Wednesday,Delay
Sharm El Sheikh,3F 7642,SSH,27.9158,34.3297,Egypt,2023-10-25,15:30:00,Fly One,1,Wednesday,Ontime
Paris,TO 7498,ORY,48.8567,2.3522,France,2023-10-25,15:55:00,Transavia,0,Wednesday,Ontime
Kishinev,3F 1867,KIV,47.0105,28.8638,Moldova,2023-10-25,16:05:00,Fly One,1,Wednesday,Ontime
Vienna,W4 2891,VIE,48.2083,16.3725,Austria,2023-10-25,16:20:00,Wizz Air,0,Wednesday,Ontime
Moscow,3F 322,VKO,55.7558,37.6178,Russia,2023-10-25,17:10:00,Fly One,1,Wednesday,Ontime
Tehran,6A 222,IKA,35.6892,51.3889,Iran,2023-10-25,17:30:00,Armenia Airways,1,Wednesday,Ontime
Moscow,A4 509,VKO,55.7558,37.6178,Russia,2023-10-25,17:35:00,Azimuth,0,Wednesday,Ontime
Venice,W4 5483,VCE,45.4397,12.3319,Italy,2023-10-25,19:25:00,Wizz Air,0,Wednesday,Ontime
Moscow,SU 1862,SVO,55.7558,37.6178,Russia,2023-10-25,19:45:00,Aeroflot,0,Wednesday,Ontime
Milan,W6 5567,MXP,45.4669,9.19,Italy,2023-10-25,19:45:00,Wizz Air,0,Wednesday,Ontime
Paris,AF 1060,CDG,48.8567,2.3522,France,2023-10-25,21:00:00,Air France,0,Wednesday,Ontime
Doha,QR 287,DOH,25.2867,51.5333,Qatar,2023-10-25,21:05:00,Qatar Airways,0,Wednesday,Ontime
Sochi,WZ 4329,AER,43.5853,39.7203,Russia,2023-10-25,21:45:00,Red WIngs,0,Wednesday,Ontime
Larnaca,W6 4549,LCA,34.9167,33.6333,Cyprus,2023-10-25,22:10:00,Wizz Air,0,Wednesday,Ontime
Dortmund,W6 4425,DTM,51.5167,7.4667,Germany,2023-10-25,22:15:00,Wizz Air,0,Wednesday,Ontime
Milan,3F 246,MXP,45.4669,9.19,Italy,2023-10-25,22:20:00,Fly One,1,Wednesday,Ontime
Larnaca,CY 414,LCA,34.9167,33.6333,Cyprus,2023-10-25,22:50:00,Cyprus Airways,0,Wednesday,Ontime
Nizhny Novgorod,WZ 1347,GOJ,56.3159,43.9944,Russia,2023-10-25,23:00:00,Red WIngs,0,Wednesday,Ontime
Moscow,SU 1868,SVO,55.7558,37.6178,Russia,2023-10-25,23:15:00,Aeroflot,0,Wednesday,Ontime
Kishinev,3F 534,KIV,47.0105,28.8638,Moldova,2023-10-25,23:30:00,Fly One,1,Wednesday,Ontime
Moscow,JI 103,SVO,55.7558,37.6178,Russia,2023-10-26,00:05:00,Armenian Airlines,1,Thursday,Ontime
Perm,5G 777,PEE,58.0139,56.2489,Russia,2023-10-26,00:20:00,Shirak Avia,1,Thursday,Ontime
Moscow,3F 312,DME,55.7558,37.6178,Russia,2023-10-26,00:30:00,Fly One,1,Thursday,Ontime
Doha,QR 285,DOH,25.2867,51.5333,Qatar,2023-10-26,00:50:00,Qatar Airways,0,Thursday,Ontime
Moscow,UT 785,VKO,55.7558,37.6178,Russia,2023-10-26,01:25:00,Utair,0,Thursday,Ontime
Warsaw,LO 727,WAW,52.23,21.0111,Poland,2023-10-26,03:20:00,LOT Polish Airlines,0,Thursday,Ontime
Frankfurt,LH 1560,FRA,50.1106,8.6822,Germany,2023-10-26,03:40:00,Lufthansa,0,Thursday,Ontime
Vienna,OS 641,VIE,48.2083,16.3725,Austria,2023-10-26,03:55:00,Austrian Airlines,0,Thursday,Ontime
Istanbul,PC 552,SAW,41.0136,28.955,Turkey,2023-10-26,04:05:00,Pegasus Airlines,0,Thursday,Ontime
Moscow,G6 406,DME,55.7558,37.6178,Russia,2023-10-26,04:35:00,Fly Arna,1,Thursday,Ontime
Moscow,5G 710,SVO,55.7558,37.6178,Russia,2023-10-26,05:00:00,Shirak Avia,1,Thursday,Ontime
Minsk,B2 733,MSQ,53.9,27.5667,Belarus,2023-10-26,05:05:00,Belavia,0,Thursday,Ontime
Moscow,SU 1966,SVO,55.7558,37.6178,Russia,2023-10-26,05:45:00,Aeroflot,0,Thursday,Ontime
Sharm El Sheikh,AMV 4112,SSH,27.9158,34.3297,Egypt,2023-10-26,07:00:00,AMC Airlines,0,Thursday,Ontime
Sharm El Sheikh,SM 993,SSH,27.9158,34.3297,Egypt,2023-10-26,07:30:00,Air Cairo,0,Thursday,Ontime
Abu Dhabi,5W 7013,AUH,24.4667,54.3667,United Arab Emirates,2023-10-26,08:50:00,Wizz Air,0,Thursday,Ontime
Moscow,3F 326,VKO,55.7558,37.6178,Russia,2023-10-26,09:00:00,Fly One,1,Thursday,Ontime
Sochi,FV 6719,AER,43.5853,39.7203,Russia,2023-10-26,10:00:00,Rossiya Airlines,0,Thursday,Ontime
Moscow,JI 101,SVO,55.7558,37.6178,Russia,2023-10-26,10:30:00,Armenian Airlines,1,Thursday,Ontime
Dubai,FZ 717,DXB,25.2631,55.2972,United Arab Emirates,2023-10-26,11:15:00,Flydubai,0,Thursday,Ontime
St.Petersburg,3F 334,LED,59.9343,30.3351,Russia,2023-10-26,11:30:00,Fly One,1,Thursday,Ontime
Tbilisi,3F 584,TBS,41.7225,44.7925,Georgia,2023-10-26,11:40:00,Fly One,1,Thursday,Ontime
Sochi,JI 122,AER,43.5853,39.7203,Russia,2023-10-25,11:25:00,Armenian Airlines,1,Wednesday,Onetime
Dortmund,W6 4426,DTM,51.5167,7.4667,Germany,2023-10-25,12:05:00,Wizz Air,0,Wednesday,Onetime
Dubai,FZ 718,DXB,25.2631,55.2972,United Arab Emirates,2023-10-25,12:10:00,Flydubai,0,Wednesday,Onetime
Moscow,WZ 4322,DME,55.7558,37.6178,Russia,2023-10-25,12:40:00,Red WIngs,0,Wednesday,Onetime
Rome,W4 8336,FCO,41.8931,12.4828,Italy,2023-10-25,12:40:00,Wizz Air,0,Wednesday,Onetime
Milan,3F 245,MXP,45.4669,9.19,Italy,2023-10-25,12:50:00,Fly One,1,Wednesday,Onetime
Tehran,6A 221,IKA,35.6892,51.3889,Iran,2023-10-25,13:30:00,Armenia Airways,1,Wednesday,Onetime
Moscow,SU 1861,SVO,55.7558,37.6178,Russia,2023-10-25,13:50:00,Aeroflot,0,Wednesday,Onetime
Perm,5G 776,PEE,58.0139,56.2489,Russia,2023-10-25,15:00:00,Shirak Avia,1,Wednesday,Onetime
Moscow,JI 102,SVO,55.7558,37.6178,Russia,2023-10-25,15:40:00,Armenian Airlines,1,Wednesday,Delay
St.Petersburg,FV 6924,LED,59.9343,30.3351,Russia,2023-10-25,16:00:00,Rossiya Airlines,0,Wednesday,Ontime
Vienna,W4 2892,VIE,48.2083,16.3725,Austria,2023-10-25,16:55:00,Wizz Air,0,Wednesday,Ontime
Moscow,3F 311,DME,55.7558,37.6178,Russia,2023-10-25,17:00:00,Fly One,1,Wednesday,Ontime
Kishinev,3F 533,KIV,47.0105,28.8638,Moldova,2023-10-25,18:10:00,Fly One,1,Wednesday,Ontime
Moscow,A4 510,VKO,55.7558,37.6178,Russia,2023-10-25,18:25:00,Azimuth,0,Wednesday,Ontime
Venice,W4 5484,VCE,45.4397,12.3319,Italy,2023-10-25,20:00:00,Wizz Air,0,Wednesday,Ontime
Milan,W6 5568,MXP,45.4669,9.19,Italy,2023-10-25,20:25:00,Wizz Air,0,Wednesday,Ontime
Moscow,SU 1863,SVO,55.7558,37.6178,Russia,2023-10-25,20:45:00,Aeroflot,0,Wednesday,Ontime
Moscow,5G 709,SVO,55.7558,37.6178,Russia,2023-10-25,21:00:00,Shirak Avia,1,Wednesday,Ontime
Doha,QR 288,DOH,25.2867,51.5333,Qatar,2023-10-25,22:05:00,Qatar Airways,0,Wednesday,Ontime
Sochi,WZ 4330,AER,43.5853,39.7203,Russia,2023-10-25,22:35:00,Red WIngs,0,Wednesday,Ontime
Larnaca,W6 4550,LCA,34.9167,33.6333,Cyprus,2023-10-25,22:45:00,Wizz Air,0,Wednesday,Ontime
Sofia,W6 4424,SOF,42.7,23.33,Bulgaria,2023-10-25,22:50:00,Wizz Air,0,Wednesday,Ontime
Nizhny Novgorod,WZ 1348,GOJ,56.3159,43.9944,Russia,2023-10-25,23:50:00,Red WIngs,0,Wednesday,Ontime
Larnaca,CY 415,LCA,34.9167,33.6333,Cyprus,2023-10-25,23:50:00,Cyprus Airways,0,Wednesday,Ontime
Moscow,SU 1869,SVO,55.7558,37.6178,Russia,2023-10-26,00:15:00,Aeroflot,0,Thursday,Ontime
